Names,Answer,Series
hawk,missiles,1
cruise,missiles,1
trident,missiles,1
patriot,missiles,1
white,cluedo characters,1
mustard,cluedo characters,1
plum,cluedo characters,1
peacock,cluedo characters,1
wall,early 20th c comedians,1
fields,early 20th c comedians,1
hope,early 20th c comedians,1
hay,early 20th c comedians,1
woods,golfers,1
rose,golfers,1
strange,golfers,1
watson,golfers,1
gold,fever,1
yellow,fever,1
jungle,fever,1
scarlet,fever,1
stirrup,ear parts,1
tympanum,ear parts,1
anvil,ear parts,1
hammer,ear parts,1
perfect,types of numbers,1
square,types of numbers,1
cube,types of numbers,1
irrational,types of numbers,1
presto,musical directions,1
piano,musical directions,1
largo,musical directions,1
grave,musical directions,1
altering,anagrams of each other,1
triangle,anagrams of each other,1
relating,anagrams of each other,1
integral,anagrams of each other,1
newel,parts of a staircase,1
bannister,parts of a staircase,1
tread,parts of a staircase,1
riser,parts of a staircase,1
jaffa,cake,1
eccles,cake,1
banbury,cake,1
chorley,cake,1
forsyth,quiz show hosts,1
edmonds,quiz show hosts,1
holmes,quiz show hosts,1
parsons,quiz show hosts,1
plum,fictional professors,1
moriarty,fictional professors,1
indiana-jones,fictional professors,1
higgins,fictional professors,1
rostrum,names for a birds mandible,1
nib,names for a birds mandible,1
beak,names for a birds mandible,1
bill,names for a birds mandible,1
shrink,nicknames for professionals,1
quack,nicknames for professionals,1
spark,nicknames for professionals,1
hack,nicknames for professionals,1
sweeney-todd,johnny depp roles,1
jm-barrie,johnny depp roles,1
roux,johnny depp roles,1
willy-wonka,johnny depp roles,1
force,magicians actions,1
crimp,magicians actions,1
palm,magicians actions,1
cop,magicians actions,1
queue,sound like letters of the alphabet,1
pea,sound like letters of the alphabet,1
jay,sound like letters of the alphabet,1
sea,sound like letters of the alphabet,1
russell,famous jacks,1
straw,famous jacks,1
frost,famous jacks,1
dee,famous jacks,1
lime,shades of green,1
emerald,shades of green,1
jade,shades of green,1
olive,shades of green,1
warner,brothers,1
wright,brothers,1
chemical,brothers,1
moss,brothers,1
rogation,sundays,1
trinity,sundays,1
bloody,sundays,1
palm,sundays,1
bounty,ships,1
beagle,ships,1
pinta,ships,1
victory,ships,1
coffee,irish,1
terrier,irish,1
yew,irish,1
rover,irish,1
boxer,rebellions,1
whiskey,rebellions,1
mau-mau,rebellions,1
easter,rebellions,1
hancock,jazz pianists,1
monk,jazz pianists,1
tatum,jazz pianists,1
waller,jazz pianists,1
rust,shades of red,1
cardinal,shades of red,1
burgundy,shades of red,1
venetian,shades of red,1
mandarin,types of collar,1
eton,types of collar,1
butterfly,types of collar,1
windsor,types of collar,1
old-tom,types of gin,1
london,types of gin,1
plymouth,types of gin,1
holland,types of gin,1
bourbon,biscuits,1
garibaldi,biscuits,1
lincoln,biscuits,1
abernethy,biscuits,1
angus,british literary awards,1
costa,british literary awards,1
orwell,british literary awards,1
orange,british literary awards,1
belgium,ruling houses of europe,1
grimaldi,ruling houses of europe,1
windsor,ruling houses of europe,1
bernadotte,ruling houses of europe,1
glamis,scottish castles,1
urquhart,scottish castles,1
balmoral,scottish castles,1
inverary,scottish castles,1
chekov,star trek characters,1
kirk,star trek characters,1
mccoy,star trek characters,1
scott,star trek characters,1
ross,antarctic explorers,1
shackleton,antarctic explorers,1
weddell,antarctic explorers,1
fuchs,antarctic explorers,1
sulu,seas in the pacific ocean,1
yellow,seas in the pacific ocean,1
bismarck,seas in the pacific ocean,1
solomon,seas in the pacific ocean,1
dean,uk art galleries,1
walker,uk art galleries,1
baltic,uk art galleries,1
whitworth,uk art galleries,1
golf,models of car,1
sierra,models of car,1
victor,models of car,1
shogun,models of car,1
echo,spacecraft,1
explorer,spacecraft,1
voyager,spacecraft,1
sputnik,spacecraft,1
foxtrot,dances,1
tango,dances,1
tap,dances,1
morris,dances,1
zulu,michael caine films,1
water,michael caine films,1
mona-lisa,michael caine films,1
ashanti,michael caine films,1
wedge,types of shoe,1
pump,types of shoe,1
mule,types of shoe,1
brogue,types of shoe,1
wellington,named after famous people,1
sandwich,named after famous people,1
plimsoll,named after famous people,1
pavlova,named after famous people,1
custard,tv cats,1
vienna,tv cats,1
snowball,tv cats,1
cookie,tv cats,1
clover,animal farm characters,1
napoleon,animal farm characters,1
major,animal farm characters,1
boxer,animal farm characters,1
seal,one word pop stars,1
sting,one word pop stars,1
jewel,one word pop stars,1
pink,one word pop stars,1
goose,pantomime characters,1
dame,pantomime characters,1
baron,pantomime characters,1
prince,pantomime characters,1
bird,jazz musician nicknames,1
count,jazz musician nicknames,1
duke,jazz musician nicknames,1
king,jazz musician nicknames,1
soldier,chocolate,1
sauce,chocolate,1
biscuits,chocolate,1
buttons,chocolate,1
suet,items in a christmas pudding,1
flour,items in a christmas pudding,1
sixpence,items in a christmas pudding,1
peel,items in a christmas pudding,1
drummle,characters in great expectations,1
biddy,characters in great expectations,1
estella,characters in great expectations,1
pip,characters in great expectations,1
hannah,palindromes,1
naan,palindromes,1
level,palindromes,1
peep,palindromes,1
honey,varieties of bee,1
mason,varieties of bee,1
bumble,varieties of bee,1
mining,varieties of bee,1
stroke,members of a rowing eight,1
engine-room,members of a rowing eight,1
cox,members of a rowing eight,1
bowman,members of a rowing eight,1
wren,famous architects,1
piano,famous architects,1
barry,famous architects,1
scott,famous architects,1
long,female radio 1 djs,1
mac,female radio 1 djs,1
ball,female radio 1 djs,1
nightingale,female radio 1 djs,1
cross,bar,1
sushi,bar,1
handle,bar,1
crow,bar,1
lavender,heritage railway lines,1
wensleydale,heritage railway lines,1
watercress,heritage railway lines,1
bluebell,heritage railway lines,1
doctor,witch,1
hazel,witch,1
hunt,witch,1
craft,witch,1
mud,types of pie,1
blackberry,types of pie,1
rabbit,types of pie,1
eskimo,types of pie,1
grand-canyon,official nicknames of us states,1
keystone,official nicknames of us states,1
bluegrass,official nicknames of us states,1
silver,official nicknames of us states,1
hst,us presidents,1
fdr,us presidents,1
gwb,us presidents,1
lbj,us presidents,1
abc,pop bands,1
xtc,pop bands,1
emf,pop bands,1
tlc,pop bands,1
hnc,qualifications,1
svq,qualifications,1
mba,qualifications,1
nvq,qualifications,1
nbc,tv channels,1
rai,tv channels,1
qvc,tv channels,1
tnt,tv channels,1
6,perfect numbers,1
28,perfect numbers,1
496,perfect numbers,1
8128,perfect numbers,1
seven,films,1
nan,films,1
1984,films,1
2010,films,1
0,temperatures of waters freezing point,1
32,temperatures of waters freezing point,1
27315,temperatures of waters freezing point,1
49167,temperatures of waters freezing point,1
21,maximum scores in games,1
147,maximum scores in games,1
180,maximum scores in games,1
300,maximum scores in games,1
topaz,alfred hitchcock films,2
rose,alfred hitchcock films,2
blackmail,alfred hitchcock films,2
spellbound,alfred hitchcock films,2
diamond,sporting arenas,2
oval,sporting arenas,2
ring,sporting arenas,2
court,sporting arenas,2
ruby,famous assassins,2
chapman,famous assassins,2
booth,famous assassins,2
ray,famous assassins,2
pew,pirates in treasure island,2
bones,pirates in treasure island,2
silver,pirates in treasure island,2
hands,pirates in treasure island,2
rose,doctor who companions,2
sarah-jane,doctor who companions,2
tegan,doctor who companions,2
ace,doctor who companions,2
cross,iron,2
fist,iron,2
lady,iron,2
duke,iron,2
globe,london theaters,2
apollo,london theaters,2
duchess,london theaters,2
adelphi,london theaters,2
roundhouse,kicks in martial arts,2
crescent,kicks in martial arts,2
butterfly,kicks in martial arts,2
scissor,kicks in martial arts,2
hay,names for marijuana,2
green,names for marijuana,2
tea,names for marijuana,2
grass,names for marijuana,2
rabbit,jack,2
knife,jack,2
hammer,jack,2
ass,jack,2
berlin,philosophers,2
hume,philosophers,2
mill,philosophers,2
locke,philosophers,2
question,things you can fire,2
pot,things you can fire,2
gun,things you can fire,2
employee,things you can fire,2
arena,names of magazines,2
time,names of magazines,2
vogue,names of magazines,2
prospect,names of magazines,2
issue,burning,2
mountain,burning,2
bush,burning,2
glass,burning,2
fairbanks,us vice presidents,2
rockefeller,us vice presidents,2
agnew,us vice presidents,2
humphrey,us vice presidents,2
reed,british film directors,2
lean,british film directors,2
forbes,british film directors,2
powell,british film directors,2
wedge,styles of shoe heel,2
cuban,styles of shoe heel,2
kitten,styles of shoe heel,2
platform,styles of shoe heel,2
fry,young creatures,2
elver,young creatures,2
joey,young creatures,2
lamb,young creatures,2
carter,doctors in er,2
ross,doctors in er,2
greene,doctors in er,2
benton,doctors in er,2
goldsmith,surnames derived from craftsmen,2
chandler,surnames derived from craftsmen,2
fletcher,surnames derived from craftsmen,2
cartwright,surnames derived from craftsmen,2
biro,famous hungarians,2
bartók,famous hungarians,2
rubik,famous hungarians,2
houdini,famous hungarians,2
dali,moustaches,2
walrus,moustaches,2
fu-manchu,moustaches,2
hitler,moustaches,2
pencil,styles of skirt,2
bubble,styles of skirt,2
tulip,styles of skirt,2
hobble,styles of skirt,2
headed,pig,2
pen,pig,2
tail,pig,2
skin,pig,2
waldorf,muppets,2
beaker,muppets,2
dr-teeth,muppets,2
scooter,muppets,2
caesar,haircuts,2
buzz,haircuts,2
pudding-basin,haircuts,2
crew,haircuts,2
nelson-mandela,trophies in rugby,2
webb-ellis,trophies in rugby,2
calcutta,trophies in rugby,2
cook,trophies in rugby,2
davis,jazz trumpeters,2
gillespie,jazz trumpeters,2
armstrong,jazz trumpeters,2
baker,jazz trumpeters,2
passenger,pigeons,2
rock,pigeons,2
wood,pigeons,2
homing,pigeons,2
spade,beard styles,2
chinstrap,beard styles,2
van-dyck,beard styles,2
soul-patch,beard styles,2
monitor,warships,2
galley,warships,2
carrier,warships,2
corvette,warships,2
beach-cruiser,types of bicycles,2
mountain,types of bicycles,2
tandem,types of bicycles,2
racing,types of bicycles,2
he,hebrew letters,2
gimel,hebrew letters,2
beth,hebrew letters,2
nun,hebrew letters,2
flop,golf shots,2
chip,golf shots,2
shank,golf shots,2
drive,golf shots,2
chaff,ways to tease,2
rib,ways to tease,2
kid,ways to tease,2
rag,ways to tease,2
fluke,end in boys names,2
divan,end in boys names,2
trick,end in boys names,2
truss,end in boys names,2
mock-turtle,soups,2
alphabet,soups,2
palestine,soups,2
pea,soups,2
alice,places called springs,2
buffalo,places called springs,2
palm,places called springs,2
colorado,places called springs,2
lamp,anagrams of other clues,2
ape,anagrams of other clues,2
shrub,anagrams of other clues,2
celia,anagrams of other clues,2
march-hare,as mad as a,2
brush,as mad as a,2
wet-hen,as mad as a,2
bag-of-hammers,as mad as a,2
liberty,islands in new york harbour,2
ellis,islands in new york harbour,2
rikers,islands in new york harbour,2
long,islands in new york harbour,2
groom,blue peter presenters,2
curry,blue peter presenters,2
bacon,blue peter presenters,2
salmon,blue peter presenters,2
class,terms in set theory,2
complement,terms in set theory,2
union,terms in set theory,2
singleton,terms in set theory,2
persian,types of pink,2
coral,types of pink,2
carnation,types of pink,2
rose,types of pink,2
cook,foreign secretaries,2
beckett,foreign secretaries,2
straw,foreign secretaries,2
owen,foreign secretaries,2
johnson,aviators,2
post,aviators,2
wright,aviators,2
hughes,aviators,2
miller,moths,2
gypsy,moths,2
winter,moths,2
hawk,moths,2
ditch,the last,2
trump,the last,2
emperor,the last,2
supper,the last,2
fu,professional snooker players,2
virgo,professional snooker players,2
white,professional snooker players,2
perry,professional snooker players,2
wheel,yoga positions,2
cobra,yoga positions,2
lotus,yoga positions,2
diamond,yoga positions,2
orion,constellations,2
crater,constellations,2
indus,constellations,2
hydra,constellations,2
board,snow,2
ball,snow,2
mobile,snow,2
plough,snow,2
bullet,magic,2
carpet,magic,2
circle,magic,2
lantern,magic,2
roast,ways to criticise,2
slate,ways to criticise,2
pan,ways to criticise,2
hammer,ways to criticise,2
triangle,waveforms,2
square,waveforms,2
sine,waveforms,2
sawtooth,waveforms,2
robinson,famous peters,2
powell,famous peters,2
cook,famous peters,2
jackson,famous peters,2
chichester,famous francises,2
crick,famous francises,2
poulenc,famous francises,2
fukuyama,famous francises,2
frederica,literary quartets,2
rabbit,literary quartets,2
raj,literary quartets,2
twilight,literary quartets,2
cherry,cricket terms,2
duck,cricket terms,2
bunny,cricket terms,2
nelson,cricket terms,2
salmon,things that can be smoked,2
cigar,things that can be smoked,2
glass,things that can be smoked,2
bacon,things that can be smoked,2
loonie,currency nicknames,2
kiwi,currency nicknames,2
cable,currency nicknames,2
buck,currency nicknames,2
ariel,fictional princesses,2
peach,fictional princesses,2
wonder-woman,fictional princesses,2
sara-crewe,fictional princesses,2
light,sky,2
rocket,sky,2
lark,sky,2
clad,sky,2
tornado,steam engines,2
iron-duke,steam engines,2
city-of-truro,steam engines,2
mallard,steam engines,2
chestnut,used to describe horse coats,3
roan,used to describe horse coats,3
grey,used to describe horse coats,3
bay,used to describe horse coats,3
sputnik,man made satellites,3
asterix,man made satellites,3
astra,man made satellites,3
big-bird,man made satellites,3
hook,cricket shots,3
sweep,cricket shots,3
square-cut,cricket shots,3
block,cricket shots,3
spy,satirical publications,3
private-eye,satirical publications,3
punch,satirical publications,3
onion,satirical publications,3
buster,british comics,3
hotspur,british comics,3
viz,british comics,3
twinkle,british comics,3
mustard,cut the,3
deck,cut the,3
ribbon,cut the,3
gordian-knot,cut the,3
spider,lunar modules,3
falcon,lunar modules,3
snoopy,lunar modules,3
eagle,lunar modules,3
hitch,celebrity nicknames,3
bogey,celebrity nicknames,3
dino,celebrity nicknames,3
madge,celebrity nicknames,3
beck,actors in dads army,3
pertwee,actors in dads army,3
ridley,actors in dads army,3
lowe,actors in dads army,3
robinson,england goalkeepers,3
seaman,england goalkeepers,3
banks,england goalkeepers,3
james,england goalkeepers,3
tailor,merchant,3
prince,merchant,3
bank,merchant,3
navy,merchant,3
lavender,shades of blue,3
midnight,shades of blue,3
oxford,shades of blue,3
royal,shades of blue,3
racing,shades of green,3
olive,shades of green,3
bottle,shades of green,3
lime,shades of green,3
milk,us assassinated figures,3
garfield,us assassinated figures,3
king,us assassinated figures,3
lincoln,us assassinated figures,3
house,types of maid,3
nurse,types of maid,3
bar,types of maid,3
hand,types of maid,3
kennedy,famous violinists,3
bell,famous violinists,3
stern,famous violinists,3
little,famous violinists,3
ramsay,famous people called gordon,3
banks,famous people called gordon,3
burn,famous people called gordon,3
brown,famous people called gordon,3
mushroom,straw,3
bale,straw,3
man,straw,3
hat,straw,3
crystal,palaces,3
louvre,palaces,3
lambeth,palaces,3
lateran,palaces,3
bennett,premiership football referees,3
winter,premiership football referees,3
poll,premiership football referees,3
dean,premiership football referees,3
buck,male animals,3
bull,male animals,3
stag,male animals,3
tom,male animals,3
dog,tooth,3
milk,tooth,3
eye,tooth,3
sabre,tooth,3
cook,famous people called norman,3
rockwell,famous people called norman,3
parkinson,famous people called norman,3
wisdom,famous people called norman,3
bailey,british photographers,3
beaton,british photographers,3
donovan,british photographers,3
oneill,british photographers,3
bar,symbols on a fruit machine,3
lemon,symbols on a fruit machine,3
7,symbols on a fruit machine,3
bell,symbols on a fruit machine,3
crumb,end with a silent letter,3
column,end with a silent letter,3
debris,end with a silent letter,3
crochet,end with a silent letter,3
radar,statistical charts,3
pie,statistical charts,3
scatter,statistical charts,3
line,statistical charts,3
tidy,british cartoonists,3
heath,british cartoonists,3
giles,british cartoonists,3
simmonds,british cartoonists,3
big-bang,theory,3
chaos,theory,3
string,theory,3
game,theory,3
health,non animal farms,3
funny,non animal farms,3
wind,non animal farms,3
body,non animal farms,3
nose,terms used to describe wine,3
legs,terms used to describe wine,3
finish,terms used to describe wine,3
bouquet,terms used to describe wine,3
coming,second,3
hand,second,3
childhood,second,3
guess,second,3
nut,egyptian deities,3
bat,egyptian deities,3
set,egyptian deities,3
isis,egyptian deities,3
whip,things you can crack,3
smile,things you can crack,3
joke,things you can crack,3
bottle,things you can crack,3
turtle,necks of jumpers,3
polo,necks of jumpers,3
roll,necks of jumpers,3
crew,necks of jumpers,3
stick,implements in ball sports,3
club,implements in ball sports,3
mallet,implements in ball sports,3
cue,implements in ball sports,3
sausages,joined together by links,3
chain,joined together by links,3
cuff,joined together by links,3
web-pages,joined together by links,3
joey,characters in punch and judy,3
policeman,characters in punch and judy,3
hangman,characters in punch and judy,3
crocodile,characters in punch and judy,3
puzzle,types of jug,3
claret,types of jug,3
measuring,types of jug,3
toby,types of jug,3
baby,sizes of grand pianos,3
concert,sizes of grand pianos,3
ballroom,sizes of grand pianos,3
parlour,sizes of grand pianos,3
kiwi,flightless birds,3
penguin,flightless birds,3
kakapo,flightless birds,3
rhea,flightless birds,3
swift,booker prize winning authors,3
barker,booker prize winning authors,3
doyle,booker prize winning authors,3
amis,booker prize winning authors,3
screw,synonyms for swindle,3
fleece,synonyms for swindle,3
con,synonyms for swindle,3
rook,synonyms for swindle,3
cat,walk,3
sleep,walk,3
moon,walk,3
cake,walk,3
petal,terms of endearment,3
love,terms of endearment,3
precious,terms of endearment,3
honey,terms of endearment,3
barry,architects of london buildings,3
wren,architects of london buildings,3
nash,architects of london buildings,3
hawksmoor,architects of london buildings,3
scrap,metal,3
noble,metal,3
base,metal,3
heavy,metal,3
jones,famous people called grace,3
kelly,famous people called grace,3
darling,famous people called grace,3
slick,famous people called grace,3
henry,characters in just william,3
william,characters in just william,3
douglas,characters in just william,3
jumble,characters in just william,3
davis,famous spencers,3
tracy,famous spencers,3
tunick,famous spencers,3
perceval,famous spencers,3
amity,fictional islands,3
skull,fictional islands,3
kirrin,fictional islands,3
craggy,fictional islands,3
avalon,tv production companies,3
ragdoll,tv production companies,3
ginger,tv production companies,3
hat-trick,tv production companies,3
saffron,spices,3
mace,spices,3
nigella,spices,3
ginger,spices,3
gin,pink,3
panther,pink,3
lady,pink,3
floyd,pink,3
elm,fictional streets,3
ramsay,fictional streets,3
bash,fictional streets,3
sesame,fictional streets,3
rhodes,tv chefs,3
blanc,tv chefs,3
oliver,tv chefs,3
rankin,tv chefs,3
st-pauls,public schools,3
repton,public schools,3
charterhouse,public schools,3
merchant-taylors,public schools,3
cathedral,westminster,3
village,westminster,3
abbey,westminster,3
chimes,westminster,3
becketts,corners of silverstone,3
brooklands,corners of silverstone,3
copse,corners of silverstone,3
stowe,corners of silverstone,3
salters,london livery companies,3
fishmongers,london livery companies,3
vintners,london livery companies,3
skinners,london livery companies,3
brick,london lanes,3
pudding,london lanes,3
chancery,london lanes,3
park,london lanes,3
jack,terms used in bowls,3
ditch,terms used in bowls,3
wood,terms used in bowls,3
rink,terms used in bowls,3
cowper,english hymn writers,3
newton,english hymn writers,3
wesley,english hymn writers,3
watts,english hymn writers,3
murphy,names of humorous laws,3
parkinson,names of humorous laws,3
gresham,names of humorous laws,3
sturgeon,names of humorous laws,3
agnew,test match special regulars,3
blofeld,test match special regulars,3
boycott,test match special regulars,3
johnston,test match special regulars,3
knees,on your,3
bike,on your,3
last-legs,on your,3
marks,on your,3
banshees,words originating from irish,3
tory,words originating from irish,3
brock,words originating from irish,3
galore,words originating from irish,3
angled,last letter to front = new word,3
uppers,last letter to front = new word,3
elating,last letter to front = new word,3
eighth,last letter to front = new word,3
brixton,famous riots,3
poll-tax,famous riots,3
rodney-king,famous riots,3
gordon,famous riots,3
vauxhall,ends of test cricket grounds,3
pavilion,ends of test cricket grounds,3
city,ends of test cricket grounds,3
nursery,ends of test cricket grounds,3
seven-sisters,star clusters,3
beehive,star clusters,3
hyades,star clusters,3
trapezium,star clusters,3
lavender-hill,places in ealing studios film titles,3
antarctic,places in ealing studios film titles,3
titfield,places in ealing studios film titles,3
pimlico,places in ealing studios film titles,3
hash,typographical symbols,3
pilcrow,typographical symbols,3
bullet,typographical symbols,3
dagger,typographical symbols,3
pot,parts of a chimney,3
stack,parts of a chimney,3
breast,parts of a chimney,3
piece,parts of a chimney,3
dandy,dashing young men,3
blade,dashing young men,3
blood,dashing young men,3
rake,dashing young men,3
comb,all have teeth,3
zip,all have teeth,3
gearwheel,all have teeth,3
saw,all have teeth,3
irish,question,3
64000,question,3
trick,question,3
west-lothian,question,3
flemish,bricklaying bonds,3
english,bricklaying bonds,3
rat-trap,bricklaying bonds,3
header,bricklaying bonds,3
butt,types of snooker rest,3
cross,types of snooker rest,3
swan-neck,types of snooker rest,3
spider,types of snooker rest,3
alley,white space on a page,3
leading,white space on a page,3
gutter,white space on a page,3
margin,white space on a page,3
fast,baseball pitches,3
curve,baseball pitches,3
spit,baseball pitches,3
screw,baseball pitches,3
rochester,characters called mr.,3
potato-head,characters called mr.,3
bean,characters called mr.,3
benn,characters called mr.,3
torbay,types of sole,3
dover,types of sole,3
rock,types of sole,3
lemon,types of sole,3
sandwich,mathematical theorems,3
four-colour,mathematical theorems,3
hairy-ball,mathematical theorems,3
binomial,mathematical theorems,3
motion,things governed by laws,3
nature,things governed by laws,3
robotics,things governed by laws,3
attraction,things governed by laws,3
olympia,us state capitals,3
bismarck,us state capitals,3
phoenix,us state capitals,3
austin,us state capitals,3
matthews,welsh female singers,3
duffy,welsh female singers,3
jenkins,welsh female singers,3
church,welsh female singers,3
nash,beau,3
peep,beau,3
bridges,beau,3
geste,beau,3
virgin,british record labels,3
island,british record labels,3
london,british record labels,3
factory,british record labels,3
cheeky,monkey,3
code,monkey,3
brass,monkey,3
powder,monkey,3
chilly,homophones of countries,3
whales,homophones of countries,3
grease,homophones of countries,3
columbia,homophones of countries,3
crisp,cold conditions,3
gelid,cold conditions,3
keen,cold conditions,3
parky,cold conditions,3
norman,famous montys,3
don,famous montys,3
burns,famous montys,3
panesar,famous montys,3
milk,monitor,3
heart,monitor,3
computer,monitor,3
baby,monitor,3
python,computer programming languages,3
logo,computer programming languages,3
perl,computer programming languages,3
c,computer programming languages,3
bourbon,types of coffee,3
k7,types of coffee,3
blue-mountain,types of coffee,3
java,types of coffee,3
moses,adopted,3
kate-adie,adopted,3
cabbage-patch-kids,adopted,3
superman,adopted,3
bread,basket,3
fruit,basket,3
picnic,basket,3
linen,basket,3
sugar,repeated in song titles,3
new-york,repeated in song titles,3
louie,repeated in song titles,3
rebel,repeated in song titles,3
henderson,famous dickies,3
davies,famous dickies,3
valentine,famous dickies,3
bird,famous dickies,3
fox,breeds of terrier,3
border,breeds of terrier,3
boston,breeds of terrier,3
norfolk,breeds of terrier,3
russell,"names meaning ""red""",3
rufus,"names meaning ""red""",3
rory,"names meaning ""red""",3
phoenix,"names meaning ""red""",3
york,surnames of sex and the city women,3
jones,surnames of sex and the city women,3
hobbes,surnames of sex and the city women,3
bradshaw,surnames of sex and the city women,3
stock,blood,3
hound,blood,3
line,blood,3
bath,blood,3
hardy,second halves of double acts,3
pace,second halves of double acts,3
large,second halves of double acts,3
bracket,second halves of double acts,3
miller,orchestra leaders,3
may,orchestra leaders,3
whiteman,orchestra leaders,3
heath,orchestra leaders,3
crystal,ball,3
masked,ball,3
medicine,ball,3
demolition,ball,3
spider,patience card games,3
golf,patience card games,3
klondike,patience card games,3
clock,patience card games,3
brahms,are you being served? characters,3
peacock,are you being served? characters,3
harman,are you being served? characters,3
grace,are you being served? characters,3
unity,famous threes,3
degree,famous threes,3
stooge,famous threes,3
r,famous threes,3
jenkins,deputy leaders of the labour party,3
healey,deputy leaders of the labour party,3
beckett,deputy leaders of the labour party,3
morrison,deputy leaders of the labour party,3
brimstone,butterflies,3
monarch,butterflies,3
skipper,butterflies,3
comma,butterflies,3
kaiser,said to be derived from julius caesar,3
july,said to be derived from julius caesar,3
tsar,said to be derived from julius caesar,3
caesarean-section,said to be derived from julius caesar,3
may,fifth items in a sequence,3
epsilon,fifth items in a sequence,3
soh,fifth items in a sequence,3
boron,fifth items in a sequence,3
